;;REM;Seccion;COD;Tipo Control;PROFESIONAL;Var 1;Var 2;Var 3;Var 4;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010101;DE SALUD;MÉDICO/A;TOTAL      ;POR EDAD;55 - 59;COL27;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010101;DE SALUD;MÉDICO/A;TOTAL      ;POR EDAD;60 - 64;COL28;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010101;DE SALUD;MÉDICO/A;TOTAL      ;POR EDAD;65 - 69;COL29;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010101;DE SALUD;MÉDICO/A;TOTAL      ;POR EDAD;70 - 74;COL30;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010101;DE SALUD;MÉDICO/A;TOTAL      ;POR EDAD;75 - 79;COL31;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010101;DE SALUD;MÉDICO/A;TOTAL      ;POR EDAD;80 y mas;COL32;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010101;DE SALUD;MÉDICO/A;TOTAL      ;Control con Presencia del Padre;menor 1 año;COL33;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010101;DE SALUD;MÉDICO/A;TOTAL      ;Control con Presencia del Padre;1 año a 3 años 11 meses 29 días;COL34;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010101;DE SALUD;MÉDICO/A;TOTAL      ;Niños, Niñas, Adolescentes y Jóvenes  SENAME;;COL35;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010101;DE SALUD;MÉDICO/A;TOTAL      ;Niños, Niñas, Adolescentes y Jóvenes Mejor Niñez;;COL36;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010101;DE SALUD;MÉDICO/A;TOTAL      ;Pueblos Originarios;;COL37;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010101;DE SALUD;MÉDICO/A;TOTAL      ;Migrantes;;COL38;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010201;DE SALUD;ENFERMERA/O;TOTAL      ;TOTAL;Ambos Sexos;COL01;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010201;DE SALUD;ENFERMERA/O;TOTAL      ;TOTAL;Hombres;COL02;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010201;DE SALUD;ENFERMERA/O;TOTAL      ;TOTAL;Mujeres;COL03;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010201;DE SALUD;ENFERMERA/O;TOTAL      ;POR EDAD;Menor de 1 mes;COL04;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010201;DE SALUD;ENFERMERA/O;TOTAL      ;POR EDAD;1 mes;COL05;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010201;DE SALUD;ENFERMERA/O;TOTAL      ;POR EDAD;2 meses;COL06;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010201;DE SALUD;ENFERMERA/O;TOTAL      ;POR EDAD;3 meses;COL07;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010201;DE SALUD;ENFERMERA/O;TOTAL      ;POR EDAD;4 meses;COL08;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010201;DE SALUD;ENFERMERA/O;TOTAL      ;POR EDAD; 5 meses;COL09;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010201;DE SALUD;ENFERMERA/O;TOTAL      ;POR EDAD;6 meses;COL10;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010201;DE SALUD;ENFERMERA/O;TOTAL      ;POR EDAD; 7  -  11 meses;COL11;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010201;DE SALUD;ENFERMERA/O;TOTAL      ;POR EDAD;12 a 17 meses;COL12;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010201;DE SALUD;ENFERMERA/O;TOTAL      ;POR EDAD;18  - 23  meses;COL13;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010201;DE SALUD;ENFERMERA/O;TOTAL      ;POR EDAD;24  - 47  meses;COL14;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010201;DE SALUD;ENFERMERA/O;TOTAL      ;POR EDAD;48  - 59  meses;COL15;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010201;DE SALUD;ENFERMERA/O;TOTAL      ;POR EDAD;60  - 71  meses;COL16;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010201;DE SALUD;ENFERMERA/O;TOTAL      ;POR EDAD; 6  -  9 ;COL17;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010201;DE SALUD;ENFERMERA/O;TOTAL      ;POR EDAD; 10 - 14 ;COL18;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010201;DE SALUD;ENFERMERA/O;TOTAL      ;POR EDAD;15 - 19;COL19;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010201;DE SALUD;ENFERMERA/O;TOTAL      ;POR EDAD;20 - 24;COL20;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010201;DE SALUD;ENFERMERA/O;TOTAL      ;POR EDAD;25 - 29;COL21;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010201;DE SALUD;ENFERMERA/O;TOTAL      ;POR EDAD;30 - 34;COL22;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010201;DE SALUD;ENFERMERA/O;TOTAL      ;POR EDAD;35 - 39;COL23;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010201;DE SALUD;ENFERMERA/O;TOTAL      ;POR EDAD;40 - 44;COL24;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010201;DE SALUD;ENFERMERA/O;TOTAL      ;POR EDAD;45 - 49;COL25;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010201;DE SALUD;ENFERMERA/O;TOTAL      ;POR EDAD;50 - 54;COL26;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010201;DE SALUD;ENFERMERA/O;TOTAL      ;POR EDAD;55 - 59;COL27;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010201;DE SALUD;ENFERMERA/O;TOTAL      ;POR EDAD;60 - 64;COL28;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010201;DE SALUD;ENFERMERA/O;TOTAL      ;POR EDAD;65 - 69;COL29;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010201;DE SALUD;ENFERMERA/O;TOTAL      ;POR EDAD;70 - 74;COL30;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010201;DE SALUD;ENFERMERA/O;TOTAL      ;POR EDAD;75 - 79;COL31;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010201;DE SALUD;ENFERMERA/O;TOTAL      ;POR EDAD;80 y mas;COL32;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010201;DE SALUD;ENFERMERA/O;TOTAL      ;Control con Presencia del Padre;menor 1 año;COL33;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010201;DE SALUD;ENFERMERA/O;TOTAL      ;Control con Presencia del Padre;1 año a 3 años 11 meses 29 días;COL34;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010201;DE SALUD;ENFERMERA/O;TOTAL      ;Niños, Niñas, Adolescentes y Jóvenes  SENAME;;COL35;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010201;DE SALUD;ENFERMERA/O;TOTAL      ;Niños, Niñas, Adolescentes y Jóvenes Mejor Niñez;;COL36;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010201;DE SALUD;ENFERMERA/O;TOTAL      ;Pueblos Originarios;;COL37;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010201;DE SALUD;ENFERMERA/O;TOTAL      ;Migrantes;;COL38;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010103;DE SALUD;MATRONA/ÓN;TOTAL      ;TOTAL;Ambos Sexos;COL01;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010103;DE SALUD;MATRONA/ÓN;TOTAL      ;TOTAL;Hombres;COL02;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010103;DE SALUD;MATRONA/ÓN;TOTAL      ;TOTAL;Mujeres;COL03;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010103;DE SALUD;MATRONA/ÓN;TOTAL      ;POR EDAD;Menor de 1 mes;COL04;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010103;DE SALUD;MATRONA/ÓN;TOTAL      ;POR EDAD;1 mes;COL05;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010103;DE SALUD;MATRONA/ÓN;TOTAL      ;POR EDAD;2 meses;COL06;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010103;DE SALUD;MATRONA/ÓN;TOTAL      ;POR EDAD;3 meses;COL07;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010103;DE SALUD;MATRONA/ÓN;TOTAL      ;POR EDAD;4 meses;COL08;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010103;DE SALUD;MATRONA/ÓN;TOTAL      ;POR EDAD; 5 meses;COL09;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010103;DE SALUD;MATRONA/ÓN;TOTAL      ;POR EDAD;6 meses;COL10;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010103;DE SALUD;MATRONA/ÓN;TOTAL      ;POR EDAD; 7  -  11 meses;COL11;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010103;DE SALUD;MATRONA/ÓN;TOTAL      ;POR EDAD;12 a 17 meses;COL12;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010103;DE SALUD;MATRONA/ÓN;TOTAL      ;POR EDAD;18  - 23  meses;COL13;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010103;DE SALUD;MATRONA/ÓN;TOTAL      ;POR EDAD;24  - 47  meses;COL14;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010103;DE SALUD;MATRONA/ÓN;TOTAL      ;POR EDAD;48  - 59  meses;COL15;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010103;DE SALUD;MATRONA/ÓN;TOTAL      ;POR EDAD;60  - 71  meses;COL16;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010103;DE SALUD;MATRONA/ÓN;TOTAL      ;POR EDAD; 6  -  9 ;COL17;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010103;DE SALUD;MATRONA/ÓN;TOTAL      ;POR EDAD; 10 - 14 ;COL18;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010103;DE SALUD;MATRONA/ÓN;TOTAL      ;POR EDAD;15 - 19;COL19;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010103;DE SALUD;MATRONA/ÓN;TOTAL      ;POR EDAD;20 - 24;COL20;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010103;DE SALUD;MATRONA/ÓN;TOTAL      ;POR EDAD;25 - 29;COL21;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010103;DE SALUD;MATRONA/ÓN;TOTAL      ;POR EDAD;30 - 34;COL22;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010103;DE SALUD;MATRONA/ÓN;TOTAL      ;POR EDAD;35 - 39;COL23;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010103;DE SALUD;MATRONA/ÓN;TOTAL      ;POR EDAD;40 - 44;COL24;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010103;DE SALUD;MATRONA/ÓN;TOTAL      ;POR EDAD;45 - 49;COL25;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010103;DE SALUD;MATRONA/ÓN;TOTAL      ;POR EDAD;50 - 54;COL26;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010103;DE SALUD;MATRONA/ÓN;TOTAL      ;POR EDAD;55 - 59;COL27;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010103;DE SALUD;MATRONA/ÓN;TOTAL      ;POR EDAD;60 - 64;COL28;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010103;DE SALUD;MATRONA/ÓN;TOTAL      ;POR EDAD;65 - 69;COL29;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010103;DE SALUD;MATRONA/ÓN;TOTAL      ;POR EDAD;70 - 74;COL30;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010103;DE SALUD;MATRONA/ÓN;TOTAL      ;POR EDAD;75 - 79;COL31;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010103;DE SALUD;MATRONA/ÓN;TOTAL      ;POR EDAD;80 y mas;COL32;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010103;DE SALUD;MATRONA/ÓN;TOTAL      ;Control con Presencia del Padre;menor 1 año;COL33;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010103;DE SALUD;MATRONA/ÓN;TOTAL      ;Control con Presencia del Padre;1 año a 3 años 11 meses 29 días;COL34;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010103;DE SALUD;MATRONA/ÓN;TOTAL      ;Niños, Niñas, Adolescentes y Jóvenes  SENAME;;COL35;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010103;DE SALUD;MATRONA/ÓN;TOTAL      ;Niños, Niñas, Adolescentes y Jóvenes Mejor Niñez;;COL36;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010103;DE SALUD;MATRONA/ÓN;TOTAL      ;Pueblos Originarios;;COL37;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010103;DE SALUD;MATRONA/ÓN;TOTAL      ;Migrantes;;COL38;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010105;DE SALUD;TÉCNICO EN ENFERMERÍA;TOTAL      ;TOTAL;Ambos Sexos;COL01;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010105;DE SALUD;TÉCNICO EN ENFERMERÍA;TOTAL      ;TOTAL;Hombres;COL02;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010105;DE SALUD;TÉCNICO EN ENFERMERÍA;TOTAL      ;TOTAL;Mujeres;COL03;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010105;DE SALUD;TÉCNICO EN ENFERMERÍA;TOTAL      ;POR EDAD;Menor de 1 mes;COL04;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010105;DE SALUD;TÉCNICO EN ENFERMERÍA;TOTAL      ;POR EDAD;1 mes;COL05;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010105;DE SALUD;TÉCNICO EN ENFERMERÍA;TOTAL      ;POR EDAD;2 meses;COL06;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010105;DE SALUD;TÉCNICO EN ENFERMERÍA;TOTAL      ;POR EDAD;3 meses;COL07;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010105;DE SALUD;TÉCNICO EN ENFERMERÍA;TOTAL      ;POR EDAD;4 meses;COL08;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010105;DE SALUD;TÉCNICO EN ENFERMERÍA;TOTAL      ;POR EDAD; 5 meses;COL09;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010105;DE SALUD;TÉCNICO EN ENFERMERÍA;TOTAL      ;POR EDAD;6 meses;COL10;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010105;DE SALUD;TÉCNICO EN ENFERMERÍA;TOTAL      ;POR EDAD; 7  -  11 meses;COL11;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010105;DE SALUD;TÉCNICO EN ENFERMERÍA;TOTAL      ;POR EDAD;12 a 17 meses;COL12;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010105;DE SALUD;TÉCNICO EN ENFERMERÍA;TOTAL      ;POR EDAD;18  - 23  meses;COL13;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010105;DE SALUD;TÉCNICO EN ENFERMERÍA;TOTAL      ;POR EDAD;24  - 47  meses;COL14;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010105;DE SALUD;TÉCNICO EN ENFERMERÍA;TOTAL      ;POR EDAD;48  - 59  meses;COL15;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010105;DE SALUD;TÉCNICO EN ENFERMERÍA;TOTAL      ;POR EDAD;60  - 71  meses;COL16;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010105;DE SALUD;TÉCNICO EN ENFERMERÍA;TOTAL      ;POR EDAD; 6  -  9 ;COL17;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010105;DE SALUD;TÉCNICO EN ENFERMERÍA;TOTAL      ;POR EDAD; 10 - 14 ;COL18;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010105;DE SALUD;TÉCNICO EN ENFERMERÍA;TOTAL      ;POR EDAD;15 - 19;COL19;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010105;DE SALUD;TÉCNICO EN ENFERMERÍA;TOTAL      ;POR EDAD;20 - 24;COL20;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010105;DE SALUD;TÉCNICO EN ENFERMERÍA;TOTAL      ;POR EDAD;25 - 29;COL21;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010105;DE SALUD;TÉCNICO EN ENFERMERÍA;TOTAL      ;POR EDAD;30 - 34;COL22;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010105;DE SALUD;TÉCNICO EN ENFERMERÍA;TOTAL      ;POR EDAD;35 - 39;COL23;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010105;DE SALUD;TÉCNICO EN ENFERMERÍA;TOTAL      ;POR EDAD;40 - 44;COL24;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010105;DE SALUD;TÉCNICO EN ENFERMERÍA;TOTAL      ;POR EDAD;45 - 49;COL25;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010105;DE SALUD;TÉCNICO EN ENFERMERÍA;TOTAL      ;POR EDAD;50 - 54;COL26;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010105;DE SALUD;TÉCNICO EN ENFERMERÍA;TOTAL      ;POR EDAD;55 - 59;COL27;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010105;DE SALUD;TÉCNICO EN ENFERMERÍA;TOTAL      ;POR EDAD;60 - 64;COL28;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010105;DE SALUD;TÉCNICO EN ENFERMERÍA;TOTAL      ;POR EDAD;65 - 69;COL29;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010105;DE SALUD;TÉCNICO EN ENFERMERÍA;TOTAL      ;POR EDAD;70 - 74;COL30;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010105;DE SALUD;TÉCNICO EN ENFERMERÍA;TOTAL      ;POR EDAD;75 - 79;COL31;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010105;DE SALUD;TÉCNICO EN ENFERMERÍA;TOTAL      ;POR EDAD;80 y mas;COL32;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010105;DE SALUD;TÉCNICO EN ENFERMERÍA;TOTAL      ;Control con Presencia del Padre;menor 1 año;COL33;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010105;DE SALUD;TÉCNICO EN ENFERMERÍA;TOTAL      ;Control con Presencia del Padre;1 año a 3 años 11 meses 29 días;COL34;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010105;DE SALUD;TÉCNICO EN ENFERMERÍA;TOTAL      ;Niños, Niñas, Adolescentes y Jóvenes  SENAME;;COL35;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010105;DE SALUD;TÉCNICO EN ENFERMERÍA;TOTAL      ;Niños, Niñas, Adolescentes y Jóvenes Mejor Niñez;;COL36;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010105;DE SALUD;TÉCNICO EN ENFERMERÍA;TOTAL      ;Pueblos Originarios;;COL37;;;;
;;REM 01;SECCIÓN B: CONTROLES DE SALUD SEGÚN CICLO VITAL;02010105;DE SALUD;TÉCNICO EN ENFERMERÍA;TOTAL      ;Migrantes;;COL38;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
